facility_id,clean_name,clean_type,clean_parish,clean_capacity,licence_issue_date,inspection_date,lat,lon,remarks
86,"Alexander, Dickerson And Mcneil Hospital",Community Health Centre,St. Joseph,375.0,2016-04-15,,12.82967,-59.25233,Follow-up 2023
09368,"Alexander, Garcia And Romero Infirmary",Unknown,St. Joseph,,2023-06-23,,12.71094,-59.09083,Good
88,"Alexander, Gomez And Evans",Hospital,Christ Church,344.0,2021-09-28,2022-06-02,13.29761,-58.9388,
#908,"Alexander, Graves And Travis Health Centre",Community Health Centre,St. James,164.0,2017-02-27,2025-08-07,,,♥
2444,"Alexander, Jones And Anderson Infirmary",Clinic,St. James,116.0,2019-05-06,,13.01059,-59.28706,Reinspection due
91,"Alexander, Morales And Taylor",Clinic,St. Peter,59.0,2020-05-08,,13.12169,-58.97026,Needs upgrade
07197,"Alexander, Mueller And Goodwin",Unknown,St. George,269.0,2025-12-27,2024-11-15,13.23796,-58.73033,Follow-up 2023
93,"Alexander,-Burke-And-Mcclure",Other,Christ Church,,2018-02-20,2025-09-17,12.77228,-59.09262,Follow-up 2023
3130,"Alexander,-Green-And-Odonnell Medical Center",Community Health Centre,St. Michael,303.0,2025-06-12,2024-03-06,,, 
HF-1607,Alexander-Group Polyclinic,Community Health Centre,St. Joseph,264.0,2019-06-30,,12.86843,-58.9826,
96,Alexander-Stewart Infirmary,Polyclinic,Christ Church,39.0,2019-11-12,,,,Reinspection due
#7676,Alexander-Velazquez,Community Health Centre,St. Lucy,448.0,2021-03-12,,13.09463,-58.89381,Reinspection due
8740,"Ali, Jones And Hill Hosp",Clinic,St. Joseph,394.0,2018-09-09,2020-12-30,,,
99,Ali-Inc Medical Center,Hospital,St. Michael,,2021-02-15,,12.76376,-59.04939, 
7276,Allen Group,Community Health Centre,St. James,210.0,2022-03-26,,,,Good
101,Allen Group,Community Health Centre,St. Michael,107.0,2021-08-09,,12.94648,-59.12424,
#1888,Allen Group Hosp,Community Health Centre,St. Michael,483.0,2017-02-20,,13.2707,-58.93783,
5737,Allen Inc Hosp,Hospital,St. John,73.0,2023-10-17,,13.00462,-58.84781,-
104,Allen Inc Medical Center,Clinic,St. Joseph,,2016-05-11,,13.08219,-58.96048,
105,Allen Llc,Polyclinic,St. George,201.0,,2025-10-29,13.10743,-58.97173,-
#4954,Allen Llc Health Centre,Community Health Centre,St. Lucy,59.0,2022-12-06,,13.22836,-58.89606,
8658,Allen Llc Hosp,Polyclinic,St. Michael,8.0,2018-11-28,,13.03366,-59.12537, 
108,Allen Ltd Clinic,Clinic,St. George,347.0,2024-01-17,,12.85858,-59.1488,Follow-up 2023
3061,Allen Plc,Other,Christ Church,119.0,2021-05-11,,,,♥
HF-5876,Allen Plc Clinic,Community Health Centre,St. Joseph,486.0,2022-08-16,,12.70139,-58.97649,
#475,"Allen, Haley And Pham",Clinic,St. Joseph,,2016-12-09,,,,
HF-9881,"Allen, Johnson And Best Infirmary",Community Health Centre,St. Peter,488.0,2024-02-19,,,,
#5837,"Allen, Johnson And Dominguez Clinic",Community Health Centre,St. James,209.0,2023-11-17,,13.19662,-59.22286,
516e77,"Allen, Mcdonald And Burke Health Centre",Community Health Centre,St. Andrew,139.0,2023-09-04,,13.27277,-59.05216, 
#23,"Allen, Riley And Kennedy",Hospital,St. Peter,,2025-10-22,,,,Reinspection due
116,"Allen, Rivas And Wiggins Polyclinic",Community Health Centre,St. Andrew,410.0,2016-06-28,,13.22555,-59.10336,Needs upgrade
988296,"Allen, Simmons And Thompson Medical Center",Unknown,St. Peter,,2020-03-01,,13.12024,-58.80428,Good
8dd49a,"Allen, Simpson And Blackwell",Hospital,St. John,54.0,2023-06-21,,13.08054,-59.00322,♥
#471,"Allen, Villanueva And Wilson Medical Center",Polyclinic,St. Peter,127.0,2020-12-15,,13.11447,-58.72503,-
2776,"Allen, Walker And Hart Infirmary",Unknown,St. Lucy,278.0,,,12.86745,-59.01269, 
#9422,"Allen, Williams And Ortiz Polyclinic",Clinic,St. John,,2022-06-16,,12.73403,-58.84017,Good
07116,"Allen, Williams And Rivers",Polyclinic,St. George,10.0,2016-11-18,,13.14811,-59.02729,Good
03261,"Allen,-Gordon-And-Gonzalez Hosp",Hospital,Christ Church,450.0,2020-11-06,,,,Reinspection due
06149,"Allen,-Irwin-And-Hernandez Polyclinic",Community Health Centre,St. George,432.0,2023-05-26,,12.97354,-58.76436,
04c144,"Allen,-Miller-And-Hernandez Hospital",Community Health Centre,St. Lucy,401.0,2024-12-12,,13.26365,-59.05108,♥
b4213f,"Allen,-Small-And-Moore Polyclinic",Community Health Centre,St. James,448.0,2024-05-02,,12.8369,-59.13701, 
8948,Allen-And-Sons Hospital,Community Health Centre,St. George,272.0,2016-10-06,2025-11-04,12.97517,-58.85566,
29d5ed,Allen-Brewer,Clinic,St. Joseph,,2022-04-28,,,,
129,Allen-Brown,Community Health Centre,St. Lucy,,2022-04-30,,,, 
130,Allen-Brown,Unknown,St. John,10.0,2025-08-26,,,,-
440256,Allen-Campos Medical Center,Polyclinic,St. John,68.0,2024-07-16,,12.71191,-59.2228,
132,Allen-Davis Hosp,Hospital,Hcruhc Tsirhc,,2019-02-15,,,,-
#4821,Allen-Elliott Medical Center,Community Health Centre,St. George,10.0,2022-01-30,,13.05952,-58.84919,Needs upgrade
38cb07,Allen-Farmer,Polyclinic,Christ Church,423.0,2021-06-08,2020-01-29,12.97091,-58.85175,Follow-up 2023
398cb5,Allen-Gonzales Polyclinic (Hcruhc),Community Health Centre,Hcruhc Tsirhc,334.0,2023-11-29,2018-09-02,12.82261,-58.76306,Follow-up 2023
00565,Allen-Group,Community Health Centre,St. Joseph,81.0,2020-04-13,2020-11-01,13.01586,-58.97301,
5022,Allen-Harris Hosp,Community Health Centre,St. Michael,,2017-06-30,,12.95278,-58.74176,Follow-up 2023
HF-4181,Allen-Hill,Polyclinic,Christ Church,,2025-01-25,,,, 
139,Allen-Inc,Unknown,Christ Church,,2022-05-27,2025-07-14,12.92724,-58.93216,Reinspection due
HF-1300,Allen-Inc Hospital,Other,St. Lucy,381.0,2019-08-09,,,,-
6690,Allen-Johnson,Clinic,St. Lucy,181.0,2016-07-23,,,,-
142,Allen-Jones Health Centre,Community Health Centre,St. Joseph,10.0,2025-06-07,,,,Reinspection due
HF-4061,Allen-Key,Clinic,St. John,10.0,2024-03-03,2025-06-01,12.90913,-59.02777, 
02418,Allen-Ltd Medical Center,Unknown,St. Andrew,307.0,2021-10-08,2021-11-05,13.2496,-59.04192,Follow-up 2023
145,Allen-Mason Hospital,Polyclinic,St. Lucy,10.0,2024-03-18,,12.9018,-59.29462,
9749,Allen-Murphy,Polyclinic,St. Joseph,,2023-02-24,,13.21064,-58.96556,Follow-up 2023
147,Allen-Murphy,Clinic,St. Lucy,,2021-05-24,,13.27164,-59.23134,Follow-up 2023
00845,Allen-Nelson Health Centre,Clinic,St. Andrew,,2016-10-18,,,,-
HF-5397,Allen-Richardson,Unknown,St. George,95.0,2025-03-18,,13.26462,-58.85057, 
150,Allen-Rodgers Hosp,Community Health Centre,St. Peter,34.0,2016-12-22,,13.05136,-58.97962,
4375,Allen-Ryan,Clinic,St. Joseph,10.0,2024-09-13,,12.7075,-59.01415, 
HF-1329,Allen-Turner Hospital,Hospital,St. James,126.0,2022-05-21,,13.2536,-59.08317, 
2082,Allison Ltd,Polyclinic,St. Andrew,200.0,2017-06-11,,13.04614,-58.92501,
154,Allison Plc,Polyclinic,St. George,20.0,2023-11-07,2020-08-25,,,
155,"Allison, Bolton And Hubbard Medical Center",Other,St. Michael,229.0,2025-01-31,,,,Reinspection due
2754,"Allison, Hernandez And Morgan Hospital",Community Health Centre,St. Joseph,,2020-12-16,2024-07-25,,,♥
157,"Allison, Terry And Garcia",Polyclinic,St. George,,2021-09-03,,,,♥
#2252,"Alvarado, Ballard And Adams Health Centre",Unknown,St. Peter,375.0,2024-05-10,,,,-
HF-8480,"Alvarado, Boyd And Henderson Infirmary",Community Health Centre,St. John,,2016-06-01,,,,Follow-up 2023
4413,"Alvarado, Davis And Thompson Infirmary",Clinic,St. John,,2024-09-16,,12.82946,-58.78728,
HF-8377,"Alvarado, Rodgers And Morgan Infirmary",Clinic,St. John,72.0,2025-05-27,,,,Needs upgrade
#8608,Alvarado-And-Sons Hosp,Clinic,St. Michael,432.0,2024-02-05,2024-04-29,12.78617,-58.90073,
163,Alvarado-Hall Infirmary,Hospital,St. John,,2016-03-13,,12.85608,-58.8542,Reinspection due
164,Alvarado-Jones,Polyclinic,St. Lucy,355.0,2022-04-12,,13.2396,-59.28959,Needs upgrade
7962,Alvarado-Lester,Community Health Centre,St. James,,2025-03-29,,12.8445,-58.95861,-
166,Alvarado-Murray Infirmary,Community Health Centre,St. James,493.0,2021-01-15,,,, 
167,Alvarado-Rivas Infirmary,Community Health Centre,St. Michael,285.0,2022-06-08,2021-04-09,13.24289,-58.91065,Good
168,Alvarez And Sons,Polyclinic,St. George,232.0,2023-10-24,,,,
05342,Alvarez And Sons Clinic,Unknown,St. Michael,10.0,2020-01-16,,12.8493,-58.70533,♥
1071,Alvarez Group,Clinic,St. Lucy,23.0,2017-06-05,,13.00556,-58.89584,Good
HF-6454,Alvarez Inc Health Centre,Community Health Centre,St. James,1.0,2024-08-30,2020-07-23,13.14603,-58.94697, 
#953,Alvarez Inc Health Centre,Polyclinic,Hcruhc Tsirhc,281.0,2025-08-14,,,,-
173,Alvarez Ltd Health Centre,Polyclinic,Christ Church,10.0,2023-02-24,,13.20105,-58.87357,-
1748,Alvarez Plc Clinic,Other,St. Michael,246.0,2016-08-11,,12.89848,-59.29273,Follow-up 2023
#4472,"Alvarez, Glover And Stephens Hosp",Community Health Centre,St. Andrew,321.0,2017-04-23,,13.26021,-58.81949, 
176,"Alvarez, Keith And Brown Polyclinic",Community Health Centre,St. Michael,398.0,2021-01-12,,,,Needs upgrade
177,"Alvarez, Lee And Lane",Unknown,St. Lucy,132.0,2020-05-14,,13.11815,-58.74806,
02091,"Alvarez, Martinez And Arnold Infirmary",Polyclinic,St. Andrew,10.0,2017-09-03,,12.74503,-58.89211,Follow-up 2023
#7320,"Alvarez, Montgomery And Velez Hospital",Unknown,St. Lucy,,2017-03-04,,12.96735,-58.77233,Good
180,"Alvarez,-Thompson-And-Lopez Clinic",Other,St. Peter,425.0,2024-02-28,2023-03-16,12.94056,-59.09549,♥
396,Alvarez-Anderson,Polyclinic,St. Lucy,56.0,2024-07-16,,12.79446,-59.12168,Good
182,Alvarez-Banks,Unknown,St. John,339.0,2018-11-14,,12.98966,-59.04008,-
183,Alvarez-Brown,Community Health Centre,St. James,301.0,2019-06-13,,13.04233,-58.86532,Reinspection due
2383,Alvarez-Scott Hospital,Other,St. Andrew,,2024-07-01,,13.07114,-59.25522,Needs upgrade
#2223,Alvarez-Soto (Ycul),Clinic,St. Lucy,10.0,2023-10-22,,12.87732,-58.77145,Good
186,Andersen And Sons Clinic,Other,St. James,474.0,2017-06-02,2025-09-04,13.043,-59.04862, 
187,Andersen Inc,Clinic,St. Joseph,80.0,2017-11-08,,13.18199,-59.26325,Needs upgrade
188,Andersen-Bates,Clinic,St. Andrew,,2024-04-01,2022-05-17,13.11097,-59.02439,
07126,Andersen-Roman,Community Health Centre,St. George,,2016-12-31,,12.8137,-59.07348,Good
#4965,Anderson And Sons Hosp,Polyclinic,St. Andrew,10.0,2023-05-06,,13.18747,-59.08036,
#1034,Anderson Group,Unknown,Hcruhc Tsirhc,,2022-12-17,,,,Needs upgrade
773,Anderson Group Hosp,Other,St. Andrew,401.0,2018-09-20,,,,Good
193,Anderson Group Hospital,Community Health Centre,St. Lucy,270.0,2021-08-29,,12.70894,-59.24957,
07699,Anderson Inc,Other,St. John,99.0,2024-11-13,,13.28166,-59.13298,
#5130,Anderson Inc Hosp,Polyclinic,Christ Church,10.0,2020-05-19,,13.23501,-59.11393,Good
196,Anderson Llc,Community Health Centre,St. James,,2019-08-29,,,,Reinspection due
197,Anderson Llc Clinic,Hospital,St. George,,2023-09-02,,13.15359,-58.8611,Reinspection due
198,Anderson Llc Hospital,Community Health Centre,St. Peter,10.0,2020-05-05,,13.17301,-58.89234,-
d273d4,Anderson Llc Medical Center,Clinic,St. John,45.0,2024-04-07,2019-02-01,13.1662,-59.29873,-
200,Anderson Llc Medical Center,Community Health Centre,St. Lucy,56.0,2020-09-26,,,,
00168,Anderson Llc Polyclinic,Hospital,St. Michael,274.0,2023-07-23,,13.29045,-59.18973,-
202,Anderson Ltd,Polyclinic,St. Joseph,281.0,2021-03-12,2024-08-26,13.07185,-59.28442,Reinspection due
09039,Anderson Ltd,Clinic,St. Lucy,,2017-03-14,,13.28848,-58.99842,
204,Anderson Ltd Hospital,Hospital,St. Joseph,35.0,2023-10-05,,13.21796,-59.18648,
205,Anderson Ltd Medical Center,Hospital,Christ Church,378.0,2025-08-19,,,,
8583,Anderson Ltd Polyclinic,Clinic,St. James,47.0,2016-12-07,,,,Follow-up 2023
09774,Anderson Ltd Polyclinic,Unknown,St. George,206.0,2021-07-25,,13.26885,-59.21451,Follow-up 2023
04366,Anderson Plc,Unknown,St. Peter,,2024-07-30,,,,♥
HF-9854,Anderson Plc Health Centre,Other,St. Lucy,90.0,2017-11-23,,,,♥
210,Anderson Plc Medical Center,Clinic,St. George,290.0,2017-06-21,,,,♥
03110,Anderson Plc Polyclinic,Polyclinic,St. John,411.0,2022-01-31,,12.95522,-58.87843,Reinspection due
HF-4530,"Anderson, Blackwell And Chung Hospital",Community Health Centre,St. Joseph,,2021-12-20,,12.74673,-59.05849,-
#6323,"Anderson, Blair And Wagner Infirmary",Clinic,St. George,14.0,2018-02-17,2023-04-09,,,♥
214,"Anderson, Castillo And Williams Health Centre",Unknown,St. Joseph,352.0,2022-10-15,,,, 
HF-6406,"Anderson, Chambers And Harvey Health Centre",Polyclinic,St. Michael,10.0,2017-07-28,,13.13175,-58.951,
#5251,"Anderson, Contreras And Giles Infirmary",Unknown,St. John,478.0,2016-10-05,,12.82897,-58.73433,Needs upgrade
bba64c,"Anderson, Copeland And Torres Polyclinic",Hospital,St. Andrew,10.0,2022-07-03,,,,♥
HF-9733,"Anderson, Gilbert And Turner Health Centre",Hospital,St. John,,2023-07-19,,12.95678,-58.92906,Needs upgrade
8588de,"Anderson, Howard And Johnson Hosp",Hospital,St. Michael,10.0,2024-12-06,,12.91079,-59.15274,♥
04041,"Anderson, Keith And Howe Hospital",Hospital,St. Joseph,10.0,2023-07-29,,12.89136,-58.97572, 
9429,"Anderson, Lucero And Fuller Clinic",Polyclinic,St. James,,2020-09-23,2024-09-19,12.79819,-59.20393,Follow-up 2023
760e5a,"Anderson, Martin And Bush Hosp",Clinic,St. Lucy,387.0,2017-03-19,,13.09005,-59.24184, 
HF-6196,"Anderson, Martin And Wilson",Clinic,St. Joseph,242.0,2024-02-28,2024-08-16,,,Good
224,"Anderson, Mccoy And Charles",Community Health Centre,Christ Church,301.0,2016-09-21,,13.00591,-58.88255,
225,"Anderson, Mitchell And Irwin Health Centre",Community Health Centre,St. Michael,467.0,2023-06-16,,12.83286,-58.94521,♥
c981b3,"Anderson, Oliver And Ochoa Polyclinic",Unknown,St. Joseph,10.0,2019-08-06,,13.18835,-59.25327, 
483fe1,"Anderson, Perez And Murphy Infirmary",Clinic,St. Michael,10.0,2017-02-13,,12.91294,-59.11783,
09810,"Anderson, Phillips And Torres Hospital",Unknown,St. Lucy,330.0,2023-01-01,,13.2629,-58.70135,Reinspection due
e7dafa,"Anderson, Sanchez And Davis Health Centre",Community Health Centre,Christ Church,184.0,2018-10-13,,12.86721,-58.91345,
HF-3284,"Anderson, Smith And Torres Clinic",Other,St. Lucy,477.0,2023-10-25,2022-09-17,13.18282,-59.24596,-
#8857,"Anderson, Taylor And Reilly Infirmary",Community Health Centre,St. Michael,,2016-04-29,,13.28775,-59.18811, 
HF-4652,"Anderson, Todd And Daniel",Community Health Centre,St. Lucy,,2022-02-16,,13.08359,-59.01051,
04397,"Anderson, Torres And Hall",Community Health Centre,St. George,,2022-01-23,,12.89633,-59.09566, 
125,"Anderson, Wagner And Williams Hospital",Clinic,St. James,299.0,2020-08-29,,,, 
235,"Anderson, Williams And Gardner",Other,St. Andrew,10.0,2017-11-15,,13.01692,-59.11779,Follow-up 2023
HF-1004,"Anderson, Wood And Riggs Hospital",Clinic,St. John,179.0,2023-06-10,,12.97271,-58.98407,♥
fbae13,"Anderson,-Bailey-And-Chavez Medical Center",Community Health Centre,St. James,,2018-11-22,,12.81028,-58.80856,Reinspection due
238,"Anderson,-Jones-And-Gardner Infirmary",Clinic,St. Andrew,,2020-05-28,,,,Follow-up 2023
#2900,"Anderson,-Miller-And-Munoz Medical Center",Clinic,St. Andrew,416.0,2024-10-18,,13.27461,-58.8578,Good
HF-7312,"Anderson,-Valenzuela-And-Andrade",Clinic,Christ Church,,2024-11-07,,12.70665,-58.87669,
04074,Anderson-Baker Polyclinic,Other,St. James,22.0,2021-07-26,,,,-
242,Anderson-Bell Clinic,Clinic,St. Peter,,2016-09-30,,,,♥
03535,Anderson-Carr Polyclinic,Community Health Centre,Christ Church,78.0,2025-10-05,,12.8942,-58.87363, 
8457,Anderson-Carter,Other,St. Andrew,,2025-06-02,,13.27106,-58.70032,♥
1965,Anderson-Davis Clinic,Unknown,St. George,81.0,2020-02-27,,,,Good
00199,Anderson-Esparza Health Centre,Polyclinic,St. George,191.0,2018-03-04,,,,Needs upgrade
#5822,Anderson-French Infirmary,Community Health Centre,St. John,,2020-07-15,,,, 
#7253,Anderson-Huerta,Hospital,St. James,10.0,2021-08-12,,13.07194,-58.93193, 
249,Anderson-Inc,Hospital,St. James,,2021-07-25,,,,Reinspection due
3bc221,Anderson-Johnson Hosp,Hospital,St. George,10.0,2024-12-08,,,,-
HF-7048,Anderson-Lewis,Hospital,St. Michael,110.0,2019-11-22,,,,
#3440,Anderson-Llc Clinic,Unknown,Christ Church,24.0,2023-11-20,,,, 
HF-8882,Anderson-Meyers,Unknown,St. Peter,59.0,2022-07-22,,12.99731,-58.81271, 
254,Anderson-Miller Polyclinic,Clinic,St. Lucy,,2018-03-02,,13.02942,-58.70964,-
255,Anderson-Myers,Hospital,St. Andrew,397.0,2022-08-20,,,, 
227,Anderson-Osborn Health Centre,Polyclinic,St. Peter,460.0,2025-11-29,,,,Follow-up 2023
47e793,Anderson-Plc Hosp,Community Health Centre,St. Lucy,430.0,2024-03-10,2021-12-21,12.91979,-59.02907,
a3da77,Anderson-Rangel Hospital,Clinic,St. Lucy,,2016-08-14,,12.79421,-58.91201,Reinspection due
